FirstName,LastName,Title,GitHubUsername,Repos,Stars,Followers,Following,Contributions
JJ,Allaire,Founder,jjallaire,70,10,313,0,3829
Jeff,Allen,Software Engineer,trestletech,105,283,180,17,426
Aron,Atkins,Software Engineer,aronatkins,21,6,12,2,143
Uriel,Avalos,Software Engineer,frankandrobot,32,12,11,1,375
Chad,Barraford,Software Engineer,cbarraford,39,21,15,1,64
Bárbara,Borges Ribeiro,Software Engineer,bborgesr,11,0,13,0,466
Phil,Bowsher,Customer Success,philbowsher,4,0,0,0,30
Jessica,Brennan,Business Manager,,NA,NA,NA,NA,NA
Bill,Carney,Marketing,carneybill,5,0,8,9,20
Anne,Carome,Events,,NA,NA,NA,NA,NA
Mine,Çetinkaya-Rundel,Professional Educator,mine-cetinkaya-rundel,41,0,255,0,746
Winston,Chang,Software Engineer,wch,91,42,487,0,1075
Chaita,Chaudhari,Quality Engineer,chaitac,7,0,0,0,16
Joe,Cheng,CTO,jcheng5,103,35,583,11,743
Jim,Clemens,Customer Success,jimclemens,15,0,0,0,2
Steven,Fazzio,Growth Marketer,stevenfazzio,0,3,1,4,2
Kim,Furuya,Software Engineer,kfuruya,15,9,7,4,19
Amanda,Gadrow,Software Engineer,ajmcoqui,1,0,1,0,12
Mel,Gregory,Software Engineer,,NA,NA,NA,NA,NA
Garrett,Grolemund,Master Instructor,garrettgman,24,11,517,0,281
Darby,Hadley,Quality Engineer,dfalty,4,0,2,0,46
Lionel,Henry,Software Engineer,lionel-,44,67,50,0,872
Jim,Hester,Software Engineer,jimhester,221,268,208,9,2345
Fereshteh,Karimeddini,Software Engineer,fereshtehRS,0,0,2,0,23
Tareef,Kawaf,President,tareefk,1,0,2,0,1
Andrew,Kipp,Software Engineer,kippandrew,31,78,16,1,43
Pete,Knast,Enterprise Advocate,,NA,NA,NA,NA,NA
Sean,Lopp,Customer Success,slopp,24,3,0,1,138
Javier,Luraschi,Software Engineer,javierluraschi,25,35,30,7,2761
Jonathan,McPherson,Software Engineer,jmcphers,24,53,124,9,1401
Steve,Nolen,Site Reliability Engineer,stevenolen,39,19,13,9,831
Roger,Oberg,Marketing,obergr,0,0,0,0,1
Ian,Pylvainen,Support Engineer,pyltime,1,0,5,3,12
Jonathan,Regenstein,Enterprise Advocate,jkr216,12,0,0,0,14
Joseph,Rickert,R Community Ambassador,joseph-rickert,14,1,62,1,22
Gary,Ritchie,Software Engineer,gtritchie,4,12,3,0,182
Edgar,Ruiz,Solutions Engineer,edgararuiz,17,0,0,0,26
Robby,Shaver,Product Design,robbyshaver,1,1,0,0,14
Joshua,Spiewak,Software Engineer,jspiewak,10,28,3,1,103
Nathan,Stephens,Director of Solutions Engineering,nwstephens,25,0,5,1,141
Kevin,Ushey,Software Engineer,kevinushey,106,83,150,22,3196
Hadley,Wickham,Chief Scientist,hadley,196,110,7900,7,4947
Yihui,Xie,Software Engineer,yihui,61,163,2800,47,3020
Jon,Yoder,Software Engineer,jonyoder,14,1,5,0,64